,foto,parecerFinal,caminho,ano
0,191390011.jpg,1,C:\Users\DELL\Desktop\Imagens\unesp\Normal\2019\191390011.jpg,2019
1,191390097.jpg,0,C:\Users\DELL\Desktop\Imagens\unesp\Normal\2019\191390097.jpg,2019
2,191390101.jpg,1,C:\Users\DELL\Desktop\Imagens\unesp\Normal\2019\191390101.jpg,2019
3,191390283.jpg,1,C:\Users\DELL\Desktop\Imagens\unesp\Normal\2019\191390283.jpg,2019
4,191390411.jpg,0,C:\Users\DELL\Desktop\Imagens\unesp\Normal\2019\191390411.jpg,2019
5,191390429.jpg,0,C:\Users\DELL\Desktop\Imagens\unesp\Normal\2019\191390429.jpg,2019
6,191390496.jpg,1,C:\Users\DELL\Desktop\Imagens\unesp\Normal\2019\191390496.jpg,2019
7,191390569.jpg,1,C:\Users\DELL\Desktop\Imagens\unesp\Normal\2019\191390569.jpg,2019
8,191390607.jpg,0,C:\Users\DELL\Desktop\Imagens\unesp\Normal\2019\191390607.jpg,2019
9,191390631.jpg,0,C:\Users\DELL\Desktop\Imagens\unesp\Normal\2019\191390631.jpg,2019
10,191210145.jpg,1,C:\Users\DELL\Desktop\Imagens\unesp\Normal\2019\191210145.jpg,2019
11,191210188.jpg,0,C:\Users\DELL\Desktop\Imagens\unesp\Normal\2019\191210188.jpg,2019
12,191210201.jpg,1,C:\Users\DELL\Desktop\Imagens\unesp\Normal\2019\191210201.jpg,2019
13,191210234.jpg,1,C:\Users\DELL\Desktop\Imagens\unesp\Normal\2019\191210234.jpg,2019
14,191210382.jpg,1,C:\Users\DELL\Desktop\Imagens\unesp\Normal\2019\191210382.jpg,2019
15,191210404.jpg,1,C:\Users\DELL\Desktop\Imagens\unesp\Normal\2019\191210404.jpg,2019
16,191210439.jpg,0,C:\Users\DELL\Desktop\Imagens\unesp\Normal\2019\191210439.jpg,2019
17,191210447.jpg,1,C:\Users\DELL\Desktop\Imagens\unesp\Normal\2019\191210447.jpg,2019
18,191210481.jpg,1,C:\Users\DELL\Desktop\Imagens\unesp\Normal\2019\191210481.jpg,2019
19,191210579.jpg,0,C:\Users\DELL\Desktop\Imagens\unesp\Normal\2019\191210579.jpg,2019
20,191210668.jpg,1,C:\Users\DELL\Desktop\Imagens\unesp\Normal\2019\191210668.jpg,2019
21,191210714.jpg,1,C:\Users\DELL\Desktop\Imagens\unesp\Normal\2019\191210714.jpg,2019
22,191210731.jpg,1,C:\Users\DELL\Desktop\Imagens\unesp\Normal\2019\191210731.jpg,2019
23,191210943.jpg,0,C:\Users\DELL\Desktop\Imagens\unesp\Normal\2019\191210943.jpg,2019
24,191210961.jpg,0,C:\Users\DELL\Desktop\Imagens\unesp\Normal\2019\191210961.jpg,2019
25,191210986.jpg,0,C:\Users\DELL\Desktop\Imagens\unesp\Normal\2019\191210986.jpg,2019
26,191211109.jpg,0,C:\Users\DELL\Desktop\Imagens\unesp\Normal\2019\191211109.jpg,2019
27,191211125.jpg,0,C:\Users\DELL\Desktop\Imagens\unesp\Normal\2019\191211125.jpg,2019
28,191211249.jpg,0,C:\Users\DELL\Desktop\Imagens\unesp\Normal\2019\191211249.jpg,2019
29,191120741.jpg,1,C:\Users\DELL\Desktop\Imagens\unesp\Normal\2019\191120741.jpg,2019
30,191121037.jpg,0,C:\Users\DELL\Desktop\Imagens\unesp\Normal\2019\191121037.jpg,2019
31,191121721.jpg,0,C:\Users\DELL\Desktop\Imagens\unesp\Normal\2019\191121721.jpg,2019
32,191121843.jpg,0,C:\Users\DELL\Desktop\Imagens\unesp\Normal\2019\191121843.jpg,2019
33,191122025.jpg,0,C:\Users\DELL\Desktop\Imagens\unesp\Normal\2019\191122025.jpg,2019
34,191122131.jpg,0,C:\Users\DELL\Desktop\Imagens\unesp\Normal\2019\191122131.jpg,2019
35,191122238.jpg,0,C:\Users\DELL\Desktop\Imagens\unesp\Normal\2019\191122238.jpg,2019
36,191122769.jpg,1,C:\Users\DELL\Desktop\Imagens\unesp\Normal\2019\191122769.jpg,2019
37,191123064.jpg,0,C:\Users\DELL\Desktop\Imagens\unesp\Normal\2019\191123064.jpg,2019
38,191123692.jpg,1,C:\Users\DELL\Desktop\Imagens\unesp\Normal\2019\191123692.jpg,2019
39,191125075.jpg,1,C:\Users\DELL\Desktop\Imagens\unesp\Normal\2019\191125075.jpg,2019
40,191125458.jpg,1,C:\Users\DELL\Desktop\Imagens\unesp\Normal\2019\191125458.jpg,2019
41,191126098.jpg,0,C:\Users\DELL\Desktop\Imagens\unesp\Normal\2019\191126098.jpg,2019
42,191120367.jpg,1,C:\Users\DELL\Desktop\Imagens\unesp\Normal\2019\191120367.jpg,2019
43,191120677.jpg,0,C:\Users\DELL\Desktop\Imagens\unesp\Normal\2019\191120677.jpg,2019
44,191121151.jpg,1,C:\Users\DELL\Desktop\Imagens\unesp\Normal\2019\191121151.jpg,2019
45,191122921.jpg,0,C:\Users\DELL\Desktop\Imagens\unesp\Normal\2019\191122921.jpg,2019
46,191123382.jpg,1,C:\Users\DELL\Desktop\Imagens\unesp\Normal\2019\191123382.jpg,2019
47,191123617.jpg,1,C:\Users\DELL\Desktop\Imagens\unesp\Normal\2019\191123617.jpg,2019
48,191123641.jpg,1,C:\Users\DELL\Desktop\Imagens\unesp\Normal\2019\191123641.jpg,2019
49,191123749.jpg,1,C:\Users\DELL\Desktop\Imagens\unesp\Normal\2019\191123749.jpg,2019
50,191123773.jpg,1,C:\Users\DELL\Desktop\Imagens\unesp\Normal\2019\191123773.jpg,2019
51,191124648.jpg,0,C:\Users\DELL\Desktop\Imagens\unesp\Normal\2019\191124648.jpg,2019
52,191125229.jpg,1,C:\Users\DELL\Desktop\Imagens\unesp\Normal\2019\191125229.jpg,2019
53,191125385.jpg,1,C:\Users\DELL\Desktop\Imagens\unesp\Normal\2019\191125385.jpg,2019
54,191125407.jpg,0,C:\Users\DELL\Desktop\Imagens\unesp\Normal\2019\191125407.jpg,2019
55,191125687.jpg,0,C:\Users\DELL\Desktop\Imagens\unesp\Normal\2019\191125687.jpg,2019
56,191126942.jpg,1,C:\Users\DELL\Desktop\Imagens\unesp\Normal\2019\191126942.jpg,2019
57,191127086.jpg,0,C:\Users\DELL\Desktop\Imagens\unesp\Normal\2019\191127086.jpg,2019
58,191120448.jpg,0,C:\Users\DELL\Desktop\Imagens\unesp\Normal\2019\191120448.jpg,2019
59,191121347.jpg,0,C:\Users\DELL\Desktop\Imagens\unesp\Normal\2019\191121347.jpg,2019
60,191121908.jpg,0,C:\Users\DELL\Desktop\Imagens\unesp\Normal\2019\191121908.jpg,2019
61,191122688.jpg,1,C:\Users\DELL\Desktop\Imagens\unesp\Normal\2019\191122688.jpg,2019
